Category: All categories

Week,bts: (United States)
2020-06-28,34
2020-07-05,34
2020-07-12,33
2020-07-19,33
2020-07-26,32
2020-08-02,32
2020-08-09,34
2020-08-16,49
2020-08-23,45
2020-08-30,51
2020-09-06,40
2020-09-13,41
2020-09-20,46
2020-09-27,51
2020-10-04,44
2020-10-11,48
2020-10-18,39
2020-10-25,35
2020-11-01,27
2020-11-08,36
2020-11-15,43
2020-11-22,54
2020-11-29,45
2020-12-06,42
2020-12-13,37
2020-12-20,37
2020-12-27,42
2021-01-03,32
2021-01-10,29
2021-01-17,29
2021-01-24,30
2021-01-31,31
2021-02-07,29
2021-02-14,32
2021-02-21,34
2021-02-28,31
2021-03-07,31
2021-03-14,53
2021-03-21,35
2021-03-28,34
2021-04-04,31
2021-04-11,34
2021-04-18,43
2021-04-25,34
2021-05-02,30
2021-05-09,35
2021-05-16,49
2021-05-23,100
2021-05-30,68
2021-06-06,60
2021-06-13,54
