https://covid.cdc.gov/covid-data-tracker/#compare-trends_newcases
Seven-day rolling average of new cases
Date generated: Tue Oct 27 2020 21:59:13 GMT-0700 (Pacific Daylight Time)

Day,CA,NY
1,16,19
2,17,23
3,19,31
4,25,35
5,29,40
6,36,53
7,37,51
8,44,84
9,63,125
10,68,207
11,108,346
12,148,547
13,174,817
14,191,1154
15,212,1433
16,273,1701
17,332,2026
18,399,2363
19,489,2629
20,532,2803
21,575,2924
22,711,3127
23,802,3331
24,739,3529
25,773,3781
26,1042,3978
27,966,4105
28,1099,6182
29,1061,5666
30,1104,5952
31,1257,6109
32,1302,6121
33,1064,6025
34,1227,5919
35,1193,3767
36,1144,4263
37,1067,3994
38,1066,3746
39,1124,3451
40,1150,3342
41,1192,3266
42,1024,3205
43,1232,2946
44,1417,2758
45,1567,2638
46,1598,2689
47,1675,3068
48,1739,3062
49,1885,2971
50,1783,2914
51,1681,2866
52,1586,2755
53,1649,2501
54,1598,1941
55,1580,1756
56,1636,1685
57,1639,1650
58,1597,1539
59,1759,1479
60,1671,1428
61,1724,1315
62,1766,1270
63,1866,1199
64,1857,1149
65,1881,1112
66,1760,1036
67,1792,976
68,1774,971
69,1747,935
70,1737,920
71,1784,951
72,1773,915
73,1845,896
74,1861,887
75,1929,861
76,1976,837
77,1981,841
78,2018,787
79,2134,739
80,2131,699
81,2214,659
82,2206,607
83,2321,582
84,2553,559
85,2635,589
86,2653,602
87,2672,577
88,2587,569
89,2716,556
90,2734,523
91,2604,499
92,2616,446
93,2597,403
94,2643,378
95,2782,356
96,2726,333
97,2803,331
98,2863,319
99,2876,313
100,2867,309
101,2974,303
102,3116,303
103,3347,296
104,3380,292
105,3567,294
106,3800,292
107,4216,302
108,4743,316
109,4924,323
110,5006,325
111,5303,328
112,5345,320
113,5499,320
114,5692,326
115,6062,333
116,6374,337
117,6824,339
118,6901,339
119,6987,348
120,7876,353
121,7836,364
122,8115,344
123,8043,340
124,8008,350
125,8228,356
126,8664,361
127,8211,401
128,8390,410
129,8309,421
130,8525,417
131,8838,409
132,9002,390
133,9126,380
134,8910,361
135,9180,345
136,9420,351
137,9919,348
138,9881,354
139,10005,369
140,9852,381
141,9858,363
142,9397,371
143,8818,377
144,8555,372
145,8322,377
146,7818,371
147,7929,369
148,7764,382
149,7553,371
150,7059,358
151,6354,359
152,6404,350
153,6522,350
154,6428,341
155,6715,335
156,7854,332
157,8762,322
158,9023,321
159,8951,317
160,9700,322
161,9628,313
162,9445,309
163,8322,316
164,7539,320
165,7372,329
166,7037,334
167,6171,333
168,6015,336
169,5797,340
170,5775,332
171,5752,353
172,5539,345
173,5503,341
174,5278,359
175,5177,386
176,5067,394
177,4957,413
178,4707,429
179,4806,454
180,4775,477
181,4771,480
182,4605,470
183,4450,453
184,4302,442
185,3925,418
186,3669,429
187,3415,432
188,3294,438
189,3254,438
190,3220,456
191,3157,462
192,3348,482
193,3333,458
194,3377,451
195,3405,448
196,3353,448
197,3416,439
198,3473,437
199,3501,433
200,3491,446
201,3458,458
202,3443,461
203,3415,481
204,3367,519
205,3300,543
206,3307,588
207,3292,654
208,3319,718
209,3028,747
210,3060,748
211,3074,771
212,3005,808
213,2942,850
214,3016,845
215,3047,824
216,3334,822
217,3264,846
218,3320,850
219,3420,843
220,3406,816
221,3371,828
222,3267,843
223,3097,858
224,2962,850
225,2966,838
226,3095,898
227,3244,918
228,3189,921
229,3627,968
230,4050,997
231,4387,1024
232,4317,null
